class,n,out,cat,perc
Insecure,556,fs,overall,37.797416723317475
Secure,915,fs,overall,62.20258327668253
Insecure,514,hs,overall,34.894772572980315
Secure,959,hs,overall,65.10522742701968
Homeless,163,hmls,overall,11.065852002715546
Not Homeless,1310,hmls,overall,88.93414799728446
Insecure,249,fs,LGBTQIA+,43.37979094076655
Secure,325,fs,LGBTQIA+,56.62020905923345
Insecure,279,fs,Not LGBTQIA+,33.982947624847746
Secure,542,fs,Not LGBTQIA+,66.01705237515225
Insecure,231,hs,LGBTQIA+,40.17391304347826
Secure,344,hs,LGBTQIA+,59.82608695652174
Insecure,257,hs,Not LGBTQIA+,31.265206812652067
Secure,565,hs,Not LGBTQIA+,68.73479318734793
Homeless,88,hmls,LGBTQIA+,15.304347826086955
Not Homeless,487,hmls,LGBTQIA+,84.69565217391303
Homeless,70,hmls,Not LGBTQIA+,8.51581508515815
Not Homeless,752,hmls,Not LGBTQIA+,91.48418491484185
